DATA,PERIODO,NOME_EVENTO,DISTANCIA,MEDALHA,INFANTIL,LOCAL,MODALIDADE,VALOR,SITE
01/06/2025,,Etapa Sesc São José do Rio Preto - Circuito Sesc de corridas 2025,,,,Interior/litoral-SP,Corrida de rua,,https://esportividade.com.br/evento/etapa-sesc-sao-jose-do-rio-preto-circuito-sesc-de-corridas-2025/
01/06/2025,,Circuito Cidades Paulistas 2025 - etapa Pedreira,,,,Interior/litoral-SP,Corrida de rua,,https://esportividade.com.br/evento/circuito-cidades-paulistas-2025-etapa-pedreira/
01/06/2025,,Eco Run 2025 - Sorocaba,,,,Interior/litoral-SP,Corrida de rua,,https://esportividade.com.br/evento/eco-run-2025-piracicaba-copy/
01/06/2025,,Hello Kitty and Friends Fun Run 2025 - São Paulo,,,,São Paulo - Zona Oeste,Corrida de rua,,https://esportividade.com.br/evento/hello-kitty-and-friends-fun-run-2025-sao-paulo/
01/06/2025,,10k SP Challenge - Market Place - 2025,,,,São Paulo - Zona Sul,Corrida de rua,,https://esportividade.com.br/evento/10k-sp-challenge-market-place-2025/
01/06/2025,,SRun 2025 - Circuito Santander - etapa do Ipiranga - São Paulo,,,,São Paulo - Zona Sul,Corrida de rua,,https://esportividade.com.br/evento/srun-2025-circuito-santander-etapa-do-ipiranga-sao-paulo/
01/06/2025,Manhã,Meia de Santos 2025,,,,Interior/litoral-SP,Corrida de rua,,https://esportividade.com.br/evento/meia-de-santos-2025/
01/06/2025,Manhã,Porto Track&Field Experience Running 2025 - centro de São Paulo,,,,São Paulo - Centro,Corrida de rua,,https://esportividade.com.br/evento/porto-trackfield-experience-running-2025-centro-de-sao-paulo/
08/06/2025,,Circuito Banco do Brasil 2025 - São Paulo,,,,São Paulo - Centro,Corrida de rua,,https://esportividade.com.br/evento/circuito-banco-do-brasil-2025-sao-paulo/
08/06/2025,,2° Shopping VillaLobos de 2025 - Santander Track&Field Run Series,,,,São Paulo - Zona Oeste,Corrida de rua,,https://esportividade.com.br/evento/2a-shopping-villalobos-de-2025-santander-trackfield-run-series/
